study_hours,sleep_hours,attendance,stress_level,marks,CGPA
0.5,7.07,54.66,2.48,56.34,6.47
4.04,6.32,74.53,5.68,71.69,7.79
7.29,5.39,97.32,8.36,64.71,7.04
5.02,6.9,90.27,6.36,61.18,6.85
4.56,8.25,91.65,2.72,78.13,9.24
7,6.87,95.66,7.21,67.67,7.53
2.95,5.48,68.84,5.29,62.79,5.94
4.65,7.15,84.65,4.95,76.89,8.76
4.87,6.44,80.21,6.78,65.48,6.69
3.22,7.04,78.04,5.67,51.74,5.73
3.35,6.07,72.04,3.14,61.76,7.31
3.18,6.05,65.47,3.81,53.3,6.09
4.13,6,87.24,5.45,68.88,7.66
4.82,7.63,82.97,3.73,73.95,7.85
4.18,6.06,81.17,5.05,71.84,6.66
5.06,5.95,90.3,6.89,64.85,7.18
1.05,5.37,74.63,3.32,43.38,5.5
3.67,7.04,81.96,3.88,59.91,7.58
2.46,6.87,72.84,2.74,63.53,7.29
4.45,5.96,84.58,5.27,58.93,7.18
4.43,5.65,80.68,7.19,57.25,6.05
3.83,8.75,79.31,3.74,77.44,8.29
4.77,4.24,84.55,8.54,51.46,5.8
5.5,7.09,83.55,4.26,75.33,8.01
3.91,8.05,79.65,2.6,74.55,8.25
2.42,3,73.95,6.62,46.26,4.1
1.63,7.45,70.73,1,69.4,7.36
4.05,6.24,82.46,4.9,70.25,7.31
4.36,6.81,75.12,4.58,66.26,8.17
2.55,6.11,78.87,4.52,49.44,6.14
5.09,7.79,91.17,3.8,84.6,9.13
3.31,6.94,76.08,4.54,57.75,7.28
1.52,6.66,69.85,1,59.22,6.93
5.88,5.42,88.34,6.65,82.67,8.53
5.72,8.76,92.34,3.58,79.17,9.16
0.98,6.51,60.81,1.51,49.53,6.18
3.16,9.25,82.49,1,79.88,8.51
3.1,8.81,79,1.74,80.82,7.83
6.46,4.37,95.92,10,58.38,6.94
3.85,5.71,78.73,5.79,72.52,7.38
1.76,5.26,61.72,3.29,50.36,6.11
5.32,6.44,91.04,4.8,72.23,8.09
2.15,6.72,63.87,1,69.28,7.74
3.61,6.78,82.53,2.19,72.21,8.46
2.85,7.76,70.37,1.95,71.42,7.45
3.16,8.29,67.86,3.97,59.33,7.45
5.41,7.66,87.03,2.03,87.09,9.57
6.28,5.83,97.32,8.16,74.25,7.65
2.09,5.56,65.61,2.85,54.18,5.58
4.94,6.5,92.69,5.1,76.48,8.23
2.9,7.01,77.79,1.95,78.29,7.82
2.95,6.28,75.52,2.3,67.59,7.63
4.74,4.89,81.5,6.98,47.54,6.13
2.46,7.32,70.46,2.4,66.32,7.29
4.71,6.03,85.68,6.35,67.3,7.55
5.1,5.99,89.71,4.42,56.83,7.49
3.35,6.43,73.79,4.79,53.33,6.55
5.99,6.21,85.92,7.67,65.43,7.97
2.09,6.06,69.38,3.46,50.8,6.1
6.02,4.96,97.06,7.63,63.13,7.21
1.08,6.37,59.34,2.03,50.62,5.8
8.05,7.34,100,7.55,85.61,9.94
3.39,6.82,77.16,4.54,59.39,7.3
2.26,7.64,63.02,1.25,68.29,7.38
3.65,5.63,75.95,5.13,59.57,6.55
2.43,4.97,75.2,2.73,54.91,6.02
4.58,6.2,91.91,5.68,73.96,7.23
6.05,5.76,83.62,6.54,74.2,8.15
2.51,5.89,58.45,4.13,52.51,6.04
4.87,6.75,77.8,5.9,67.46,7.55
1.7,5.9,74.16,2.19,57.71,6.36
5.55,5,78.78,7.58,72.79,7.75
4.62,5.83,90.61,5.97,61.26,6.83
5.61,6.91,94.15,6.07,65.13,8.32
3.82,7.31,80.04,4.3,71.24,8.16
3.35,7.29,73.6,3.71,64.49,7.16
5.22,7.01,86.4,4.83,76.65,7.79
2.04,6.3,73.25,4.34,55.85,6.64
1.39,6.99,69.22,2.15,43.06,5.69
3.99,6.45,88.66,5.95,64.37,7.12
3.42,6.64,75.78,4.13,61.49,6.35
4.83,5.37,77.65,6.86,65.76,7.53
5.64,6.55,80.8,5.97,81.9,7.78
4.8,6.95,75.61,4.4,81.88,7.9
5.52,6.91,88.57,6.58,65.84,7.36
4.48,4.95,81.24,6.79,53.59,5.85
4.74,6.62,83.87,4.99,81.57,8.3
3.83,4.77,76.44,5.04,59.42,6.65
4.7,6.71,77.94,6.54,75.19,8.8
4.25,5.66,84.32,5.7,63.53,6.57
4.49,8.55,70.12,1.71,79.4,8.56
3.75,6.64,74.74,4.19,57.82,6.87
5.21,7.46,90,4.55,74.9,8.17
2.93,9.03,70.17,1,80.69,9.05
3.97,5.52,81.82,6.03,62.73,7.18
5.97,7.02,85.84,5.75,63.65,7.51
2.58,5.08,70.61,4.19,62.75,6.91
0.76,6.91,66.66,2.21,57.32,6.52
4.55,8.62,76.36,1.19,85.46,9.34
3.61,5.75,81.8,4.82,62.88,6.53
5.52,5.44,87.81,8.01,61.37,6.69
3.8,6.39,85.3,5.04,65.3,7.12
3.09,8.95,76.51,2.16,66.8,7.72
3.89,7.43,74.08,5.48,76.33,7.83
5.64,5.41,96.84,8.92,54.18,6.49
4.86,8.25,79.39,2.46,62.64,7.86
0.5,4.51,61.36,1.38,40.9,5.14
4.28,9.06,86.18,2.54,77.16,8
4.35,7.53,72.37,2.47,76.5,8.24
3.97,8.62,87.06,1,86.79,8.91
3.08,4.52,69.66,5.88,47.55,6.02
5.79,6.7,86.68,6.66,84.05,8.05
5.87,6.34,90.77,8.24,63.29,7.19
0.7,5.29,63.27,3.17,39.94,5.42
2.8,4.94,77.96,6.78,69.6,6.51
3.78,7.11,70.91,4.03,66.22,8.09
5.42,7.22,90.75,4.07,76.14,8.68
4.05,8.06,84.3,3.81,74.19,8.36
2.97,5.9,80.02,5.41,50.61,5.38
5.06,6.33,77.37,6.13,59.55,7.06
3.68,4.84,71.07,7.29,57.16,5.77
3.82,8.35,77.41,2.35,74.45,7.85
3.96,6.58,72.99,4.92,58.08,6.44
4.86,7.37,75.29,4.32,81.36,8.3
3.54,7.41,75.76,5.51,68.47,7.65
5.03,8.25,86.32,4.62,73.1,8.28
3.89,5.5,93.45,4.27,77.29,7.48
2.4,7.34,74.74,3.91,61.88,6.71
3.94,6.47,88.49,3.74,60.93,7.32
2.48,9.03,72.17,1,71.81,8.45
4.06,5.5,83.11,6.03,54.21,6.01
5.24,7.91,85.49,4.89,53.97,7.33
2.39,6.92,85.36,2.95,52.73,6.21
4.55,6.86,79.3,3.56,75.63,8.46
2.76,6.56,71.03,3.68,61.33,6.91
4.3,8.12,85.5,4.29,66.67,8.11
5.29,6.82,87.49,6.55,73.47,8.41
0.81,4.67,61.91,1.83,53.47,5.29
2.33,7.96,76.44,1,79.49,8.29
3.45,7.74,77.03,1.66,71.77,7.92
4.47,7.2,82.12,4.61,66.87,7.47
3.75,5.15,79.91,4.05,63.13,7.1
3.93,5.33,70.99,4.48,65.99,7.2
7.06,4.25,87.36,9.15,65.65,7.24
2.18,7.05,76.34,1,71.14,7.72
5.7,4.88,85.13,7.79,66.43,7.1
3.48,4.44,76.71,3.93,54.19,6.69
4.82,8.03,92.18,4.28,70.53,8.01
7.19,7.42,95.53,6.37,82.05,9.01
5.03,6.1,84.11,5.31,57.89,6.97
4.56,6.34,87.27,4.76,59.97,7.04
6.4,3.61,89,9.73,57.05,6.46
5.69,7.6,94.45,5.68,75.66,8.5
2.8,5.67,78.38,5.45,66.34,7.25
4.44,6.9,91.36,5.56,61.43,7.3
1.42,3.51,63.67,7.14,40.84,4
3.19,7.67,82.78,3.19,62.98,7.1
4.47,5.6,85.13,6.01,66.67,7.33
3.1,4.85,68.86,4.79,51.3,5.91
4.41,6.09,69.07,4.89,61.87,6.74
3.98,5.78,75.91,5.73,72.72,7.15
4.8,7.79,85.48,3.02,77.02,8.77
3.36,6,79.01,4.6,52.19,6.1
2.59,8.14,72.65,1.44,61.57,7.3
6.22,6.9,90.84,5.59,81.19,9.05
3.26,7.57,75.65,1.63,75.29,8.41
4.99,6.5,90.11,8.02,56.86,6.29
6.15,8.03,83.58,3.73,75.99,8.18
4.24,5.12,82.56,6.06,63.68,6.89
2.72,6.64,69.46,4.3,58.55,6.52
3.73,6.02,74.13,5.24,72.44,6.96
5.53,8.18,93.51,3.88,85.4,9.11
4.31,8.3,76.63,1.82,68.55,8.22
2.19,6.5,70.26,2.82,51.25,6.55
4.89,4.95,94.27,4.31,61.19,7.19
5.15,7.01,89.96,5.31,67.99,7.47
3.47,4.5,75.06,6,54.27,6.46
4.92,8.45,82.71,4.53,72.02,8.35
4.37,5.93,75.7,4.29,60.77,6.74
3.7,6.46,85.02,3.92,67.61,7.7
2.06,5.68,75.36,3.81,44.24,6.05
5.62,5.42,91.52,7.4,73.95,7.62
5.14,7.38,89.68,3.41,76.49,8.03
4.88,6.31,80.51,4.92,58.82,7.25
6.32,6.55,83.84,8.17,70.27,7.78
5.42,5.3,89.89,7.38,53.34,6.55
5.03,7.53,89.59,2.84,73.77,8.53
0.68,7.65,71.44,1,56.73,6.03
5.8,6.25,87.97,4.95,76.48,8.05
4.12,8.02,78.89,2.8,77.95,8.22
4.47,6.38,81.15,5.66,66.63,7.27
4.48,7.44,85.75,5.26,73.11,7.42
5.16,4.55,84.39,5.27,65.28,7.59
5.68,6.92,88.16,6.47,69.4,7.93
4.95,6.17,88.91,6.64,51.55,7.17
4.71,6.69,80.44,4.47,67.14,7.51
4.35,6.63,88.69,4.81,75.15,8.03
0.5,6.65,65.67,1,60.14,6.52
3.57,7.24,68.55,1,66.82,7.77
2.59,5.82,70.36,4.87,63.43,6.58
5.82,7.18,78.96,5.09,79.15,8.84
4.93,7.98,83.66,3.6,79.71,8.43
3.31,4.81,74.07,5.74,58.41,6.22
3.46,5.56,81.49,4.53,59.33,5.8
3.41,5.61,72.64,4.34,59.71,6.45
3.38,5.19,78.85,5.59,64.37,6.81
1.83,5.93,72.01,1.41,57.87,6.47
1.51,7.74,68.83,1.93,58.64,6.79
4.04,8.24,85.92,2.58,73.3,7.87
5.61,6.63,98.41,4.98,82.35,8.31
3.19,6.11,76.53,2.94,63.99,7.45
4.46,7.46,84.3,4.03,72.25,8.17
5.1,3.66,81.11,8.13,52.19,5.78
2.51,5.23,67.45,2.73,64.52,6.79
3.97,3.71,85.02,6.65,63.98,6.92
3,5.22,79.51,3.97,67.81,7.03
6.41,5.58,86.9,9.09,75.4,7.28
6.34,8.27,85.18,5.2,68.22,7.94
2.51,3.19,69.31,7.89,44.91,4.65
4.58,6,82.19,4.87,76.39,8.31
5.6,7.24,85.96,5.07,80.63,8.95
5.27,6.99,87.17,5.67,75.87,8.09
4.12,8.25,85.2,3.47,68.17,7.72
5.96,6.69,92.11,6.99,72.22,7.84
2.64,6.95,75.9,1.81,63.86,7.82
3.55,4.29,65.47,5.39,58.85,6.84
2.68,5.31,65.35,4.01,64.86,6.63
5.17,4.36,81.89,9.29,64.59,6.62
3.13,7.19,72.47,1.94,70.62,7.7
3.74,6.92,82.91,3.3,66.03,7.59
4.93,6.88,80.24,5.78,70.44,7.37
5.05,5.44,88.57,7.28,70.48,7.14
2.64,5.33,69.27,4.86,58.16,6.69
5.58,6.75,81.92,5.91,67.26,8.28
4.68,5.7,77.65,4.92,64.02,6.86
2.38,5.28,83.18,3.41,57.45,5.88
2.01,5.89,66.01,4.24,62.89,6.66
3.98,5.71,83.34,6.04,69.05,6.8
5.28,5.46,78.58,5.48,77.33,7.72
5.31,5.03,93.66,8.15,60.07,6.84
4.53,7.04,84.42,5.8,75.36,8.26
4.07,8.37,81.73,2.76,70.11,8.07
4.77,6.45,85.91,5.74,66.78,7.99
2.72,6.77,76.21,3.96,57.39,6.91
6.53,7.14,96.7,5.69,74.14,7.84
6.51,6.94,89.56,8.9,66.42,7.21
4.64,5.48,79.93,7.38,61.73,6.36
4.3,8.56,81.73,3.26,92.4,8.86
3.38,5.59,80.34,4.76,68.51,7.33
4.79,7.28,83.63,5.01,68.11,8.01
2.96,7.14,78.68,1.27,73.25,7.56
0.66,4.15,66.41,5.6,35,4.09
0.5,6.07,61.42,2.56,65.58,6.31
2.8,6.57,65.27,4.7,43.63,5.94
4.23,6.66,78.66,4.61,64.22,7.44
4.5,6.86,91.2,4.28,83.85,8.97
3.27,7.41,78.05,2.19,73.64,7.53
4.21,6.49,77.87,5.54,55.38,6.53
3.59,6.93,79.2,3.15,56.1,6.71
2.5,6.45,75.89,2.87,73.93,8.13
3.92,5.28,76.4,6.19,70.08,6.73
5.22,6.54,92.27,5.02,59.79,7.5
2.57,7.4,75.32,3.21,61.09,6.96
2.57,7.83,67.35,1.72,66.64,7.26
2.4,7.14,76.26,1,55.73,6.63
1.1,8.1,63.43,1,62.35,7.37
3.28,7,75.5,4.59,61.92,7.01
5.07,7.54,80.28,3.6,80.87,8.82
4.26,7.62,84.46,4.53,68.56,7.73
3.75,6.23,77.99,4.64,71.85,7.17
4.19,7.37,84.34,3.65,63.96,6.78
3.27,5.37,73.58,7.41,58.31,6.27
1.08,6.92,62.06,1,60.82,6.19
5.18,7.19,82.15,4.24,72.7,7.85
5.61,7.76,90.01,4.82,71.64,8.21
2.91,7.48,71.14,4.84,50.53,5.76
3.77,7.78,77.85,2.98,63.07,7.64
3.64,6.38,75.63,4.54,71,6.78
4.53,6.09,84.84,5.11,69.57,7.21
6.53,6.17,84,7.72,50.09,6.99
5.74,6.82,89.93,5.65,83.86,8.58
3.43,4.33,85.83,6.8,47.44,6.09
4.81,8.1,90.25,4.49,72.16,7.73
5.88,6.55,86.32,6.09,58.46,7.72
4.61,6,85.54,4.49,70.23,8.04
3.99,3.46,81.47,7.62,57.76,5.67
4.67,6.46,90.69,6.62,65.37,6.49
2.95,6.26,62.17,2.86,65.62,7.12
3.16,5.42,81.38,5.07,57.19,5.92
2.4,5.69,70.68,2.51,51.21,6.48
4.46,6.47,78.59,3.95,72.52,7.76
3.8,5.79,75.16,6.31,67.93,7.08
2.77,7.19,67.33,3.27,85.99,8.13
3.75,5.6,75.7,5.5,63.52,7.4
4.7,6.69,78.13,2.7,74.92,8.31
6.87,7.92,95.26,5.4,90.39,10
5.52,6.46,90.54,6.67,74.42,7.88
0.57,6.93,61.59,1,57.86,5.94
4.36,6.85,89.29,4.15,75.39,7.79
6.14,6.51,87.98,7.4,71.9,7.44
1.99,6.42,68.42,1.06,51.43,6.54
4.83,5.81,81.77,4.33,51.48,7.17
3.65,6.68,81.22,2.47,66.81,7.71
5.73,6.16,92.13,6.9,71.59,7.97
4.61,8.36,85.51,2.69,79.38,9.16
2.67,7.47,72.75,3.08,56.68,6.55
3.7,4.76,71.79,6.06,54.12,6.2
3.79,4.82,77.34,7.84,58.03,6.13
3.82,6.34,86.47,3.23,63.8,7.66
5.68,6.03,93.46,6.99,70.39,7.86
2.74,6.28,75.15,2.66,61.59,6.88
5.5,7.28,85.6,5.82,80.61,8.65
3.55,6.88,77.67,3.79,72.1,7.37
4.34,6.87,79.78,3.48,83.22,8.31
4.11,8.24,86.51,2.72,69.23,8.11
3.97,4.83,75.64,6.21,48.63,6.51
3.98,6.62,84.52,3.76,59.88,6.79
6.19,5.81,88.28,8.11,55.25,7.02
5.26,8.22,92.92,3.01,92.84,8.8
3.46,3.85,79.41,8.7,43.19,5.28
6.37,3.9,88.12,10,74.33,7.95
4.41,6.87,80.51,4.9,70.92,7.36
4.54,7.85,86.24,6.53,61.51,6.64
2.74,7.43,71.22,2.01,85.81,8.38
3.25,5.54,76.38,5.33,62,7
2.97,8.31,72.27,1.88,61.52,7.3
4.13,5.02,89.44,6.9,55.36,6.64
4.96,8.07,94.45,5.39,79.27,8.39
4.55,5.18,90.07,6.92,60.01,6.77
6.38,6.08,91.29,8.35,64.9,7.7
2.67,7.27,71.33,1.85,66.85,7.18
4.17,4.74,76.97,6.23,65.07,6.84
2.08,8.26,78.06,2.45,63.61,6.92
2.62,6.07,77.74,4.14,51.47,5.22
5.9,6.66,94.38,6.48,72.67,8.03
3.31,7.89,75.28,1.66,62.07,7.23
2.79,5.55,65.19,5.21,64.62,6.73
0.81,7.77,56.39,1,51.1,6.17
2.78,8.47,74.19,1,55.87,6.84
3.69,5.71,75.85,5.09,59.29,5.95
1.96,8.14,66.63,1,65.64,7.49
3.61,4.39,79.75,6.83,63.1,6.09
5.91,6.97,94.6,6.32,70.31,7.34
2.94,5.03,71.19,4.56,50.66,5.86
2.58,7.63,66.4,1.69,70.52,7.57
2.31,7.53,68.18,1.66,83.58,7.88
2.29,8.99,66.22,1,69.16,7.27
4.8,8.21,86.98,3.78,80.11,8.58
4.07,6.3,80.34,4.52,55.33,6.48
5.44,5.2,96.58,7.35,74.52,7.26
7.03,7.18,98.82,6.7,87.8,9.02
1.25,6.43,75.34,1.47,58.79,6.86
4.57,8.36,75.83,3.49,89.19,8.87
2.32,3.9,55.35,6.2,52.81,5.78
5.18,9.13,87.13,2.53,85.8,10
3.59,7.14,78.58,3.85,64.35,7.48
4.04,5.52,79.59,6.04,73.18,7.64
2.08,7.38,70.86,1,58.38,6.95
3.36,8.06,71.18,3.28,62.35,7.54
4.13,6.64,83.49,6.55,58.87,6.78
6.03,4.38,93.85,8.56,56.21,6.41
2.81,6.15,68.04,3.49,47.82,5.69
3.17,7.75,74.1,2.21,71.75,8.22
5.42,7.1,85.62,5.94,71.38,7.42
2.71,6.31,70.2,3.91,59.92,6.52
5.71,8.07,82.76,3.05,86.69,9.92
3.99,7.39,79.99,2.73,72.88,8.34
4.45,7.48,83.58,4.48,77.59,8.69
4.55,6.01,79.71,5.4,65.98,7.37
3.08,5.89,69.92,3.02,66.21,7.4
4.58,4.46,84.98,8.63,57.82,5.94
2.84,6.19,70.37,2.85,60.95,6.66
3.25,7.62,74.69,2.66,72.69,7.95
4.84,6.26,82.01,5.41,72.95,7.31
4.44,7.03,88.43,3.33,84.94,8.4
3.89,7.83,75.83,3.24,62.63,7.64
2.11,6.95,79.19,2.56,53.32,6.8
2.49,7.06,76.19,1.95,63.69,7.27
4.42,4.87,91.18,6.21,69.61,7.3
5.1,6.11,88.81,6.59,65.72,7.09
2.34,8.57,70.57,1,80.95,8.41
2.74,6.62,69.11,2.27,59.56,6.84
4.2,8.78,79.23,2.64,67.79,8.62
4.17,5.63,88.28,5.01,54.2,6.78
1.56,6.78,67.58,1.24,70.14,7.48
4.24,6.04,84.52,6.1,63.93,6.51
3.1,7.21,76.55,2.26,55.87,7.27
6.46,7.57,93.56,7.87,73.69,7.4
4.37,7.22,83.31,2.4,77.94,8.4
4.63,7.75,85.64,1.67,81.76,9.12
4.67,6.48,79.28,6.07,64.56,7.52
2.18,6.27,69.52,1.92,70.17,6.91
6.92,4.39,96.13,8.56,68.65,7.13
1.57,7.27,68.65,2.28,61.57,6.57
5.19,6.71,83.66,4.99,66.91,7.84
4.93,6.42,86.72,6.42,75.04,7.44
3.28,6.27,72.57,3.4,65.81,7.3
5,6.46,78.88,5.91,76.99,8.39
3.52,6.22,79.09,3.8,65.51,7.24
2.99,5.87,68.94,3.2,60.84,7.19
4.7,6.79,84.92,6.65,66.59,7.22
2.49,7.08,62.68,3.53,63.69,6.69
3.66,5.58,74.69,4.36,62.43,7.18
3.11,6.02,73.91,3.91,61.34,6.69
3.5,6.25,69.45,5.72,59.73,6.6
4.65,6.51,81.38,4.16,80.39,8.42
3.11,6.35,81.47,2.83,61.89,7.04
3.71,7.29,72.21,3.89,70.54,7.71
3.25,4.52,74.5,8,40.08,4.21
6.17,4.73,99.34,8.49,61.45,7.01
4.51,6.73,77.26,5.83,59.41,7.06
4.33,5.78,88.64,4.54,63.76,7.45
5.03,7.56,83.73,4.83,73.7,7.96
3.11,7.9,76.05,1.85,70.49,7.96
5.29,6.78,92.9,7.38,62.91,7.13
4.52,5.21,80.17,7.9,62.21,6.58
1.66,7.77,71.45,3.17,56.75,5.74
1.86,6.74,73.71,1.42,69.78,7.09
3.14,4.72,72.45,5.46,48.43,5.72
2.02,4.82,66.29,4.57,62.1,6.39
3.64,8.32,77.07,1.67,81.28,7.87
2.48,8.12,71.41,1.49,74.1,8.16
3.85,3.48,73.87,8.28,49.29,5.52
6.12,4.87,87.38,7.7,56.38,6.42
3.93,7.87,62.3,2.35,64.75,7.79
3.55,6.48,76.06,3.3,74.93,7.86
4.58,7.34,87.38,2.9,78.36,8.74
2.96,6.43,66.44,4.38,54.09,6.09
5.27,7.29,84.01,4.27,85.47,9.12
4.74,6.51,95.93,4.42,74.16,7.81
4.06,5.97,80.18,5.61,63.49,7.39
4.23,7.77,87.94,3.45,64.18,7.45
7.06,6.74,90.25,6.79,71.77,8.32
5.41,7.28,89.31,5.94,83.74,8.13
7.3,6.69,90.59,7.04,83.41,8.45
4.8,5.92,86,3.7,61.95,6.49
1.79,8.43,73.17,1.7,62.54,7.16
3.61,6.93,81.06,2.85,59.12,6.71
1.45,6.07,65.52,1.66,56.29,6.05
4.79,8.03,85.34,3.04,81.85,7.87
5.12,4.92,87.01,7.26,68.42,7.44
2.67,9.18,76.69,1,82.31,8.86
3.02,6.29,74.46,4.72,48.65,6.82
4.22,4.98,85.77,7.89,55.72,6.05
2.2,8.79,78.19,1,63.17,7.79
2.09,5.94,68.86,2.21,63.68,7.35
5.86,6.79,89.52,5.54,65.2,7.22
4.17,7.36,76.34,4.25,62.96,7.16
3.16,7.92,77.52,2.13,71.94,8.35
1.46,6.86,69.04,1.1,64.59,7.52
5.28,5.72,86.68,5.26,71.21,8.03
2.97,6.76,75.53,1,64.55,7.31
6.79,6,100,6.79,78.69,8.73
5.29,6.8,72.01,6.75,73.42,8.19
2.79,8.45,71.46,1.77,80.12,8.19
2.93,7.41,72.92,2.33,46.38,6.29
6.58,6.75,100,7.56,74.05,8.09
3.87,7.39,81.74,2.2,76.26,8.43
3.23,7.47,78.65,2.81,65.3,7.33
4.04,5.21,86.51,4.05,62.58,7.34
3.22,6.55,75.22,4.02,60.28,6.78
4.36,9.58,85.07,2.05,68.22,8.49
3.89,7.96,76.78,3.21,79.46,8.71
5.31,5.9,81.3,7.59,66.73,7.2
3.42,5.78,86.06,5.42,50.73,6.03
2.67,5.74,75.21,2.73,65.9,6.24
3.48,7.54,80.61,4.12,61.74,6.93
3.47,8.43,71.94,1.83,70.33,7.79
3.88,7.2,81.97,1.71,81.64,8.33
4.95,6.69,93.65,5.15,82.76,8.01
4.87,5.97,82.96,6.55,60.92,7.39
5.8,6.9,82.72,4.89,69.26,8.02
2.78,5.52,74.83,5.6,58.47,6.55
4.58,4.18,77.74,6.48,61.58,7.25
5.09,8.46,77.67,3.15,82.29,8.67
2.99,5.29,71.27,4.03,50.87,6.13
3.69,6.11,75.98,2.87,74.95,7.62
